Namespace(duration=43200, fig_directory='res/simulator', generate_addition_probabilities=False, generate_graphs=True, generate_table=False, model='GPT-3', model_size='350M', performace_log_interval=1, removal_probability=None, seed=None, spot_instance_desired_capacity=20, spot_instance_trace='traces/g4dn-trace-8-20.csv', start_hour=None)
[0.000] node1 simulate_spot_instance_add: 0
[0.000] node3 simulate_spot_instance_add: 0
[0.000] node7 simulate_spot_instance_add: 0
[0.000] node15 simulate_spot_instance_add: 0
[0.000] node14 simulate_spot_instance_add: 0
[0.000] node6 simulate_spot_instance_add: 0
[0.000] node13 simulate_spot_instance_add: 0
[0.000] node12 simulate_spot_instance_add: 0
[0.000] node2 simulate_spot_instance_add: 0
[0.000] node5 simulate_spot_instance_add: 0
[0.000] node11 simulate_spot_instance_add: 0
[0.000] node10 simulate_spot_instance_add: 0
[0.000] node20 simulate_spot_instance_add: 0
[0.000] node4 simulate_spot_instance_add: 0
[0.000] node9 simulate_spot_instance_add: 0
[0.000] node19 simulate_spot_instance_add: 0
[0.000] node18 simulate_spot_instance_add: 0
[0.000] node8 simulate_spot_instance_add: 0
[0.000] node17 simulate_spot_instance_add: 0
[0.000] node16 simulate_spot_instance_add: 0
[45.000] node7 simulate_spot_instance_ready: 45000
[45.000] node7 starting global rendezvous
[45.000] simulate_rendezvous_start: 45000 True
[45.000] simulate_rendezvous_restart: 45000
[45.000] simulate_preparation: 45000 ['node7']
[45.000] node14 simulate_spot_instance_ready: 45000
[45.000] node6 simulate_spot_instance_ready: 45000
[45.000] node17 simulate_spot_instance_ready: 45000
[45.000] node16 simulate_spot_instance_ready: 45000
[45.000] node15 simulate_spot_instance_ready: 45000
[45.000] node13 simulate_spot_instance_ready: 45000
[45.000] node5 simulate_spot_instance_ready: 45000
[45.000] node8 simulate_spot_instance_ready: 45000
[45.000] node12 simulate_spot_instance_ready: 45000
[45.000] node2 simulate_spot_instance_ready: 45000
[45.000] node11 simulate_spot_instance_ready: 45000
[45.000] node20 simulate_spot_instance_ready: 45000
[45.000] node18 simulate_spot_instance_ready: 45000
[45.000] node10 simulate_spot_instance_ready: 45000
[45.000] node4 simulate_spot_instance_ready: 45000
[45.000] node19 simulate_spot_instance_ready: 45000
[45.000] node1 simulate_spot_instance_ready: 45000
[45.000] node3 simulate_spot_instance_ready: 45000
[45.000] node9 simulate_spot_instance_ready: 45000
[46.000] simulate_preparation: 46000
[46.000] simulate_preparation: 46000 ['node7', 'node14', 'node6', 'node17', 'node16', 'node15', 'node13', 'node5', 'node8', 'node12', 'node2', 'node11', 'node20', 'node18', 'node10', 'node4', 'node19', 'node1', 'node3', 'node9']
[46.000] simulate_assign_coordinates ['node7', 'node14', 'node6', 'node17', 'node16', 'node15', 'node13', 'node5', 'node8', 'node12', 'node2', 'node11', 'node20', 'node18', 'node10', 'node4', 'node19', 'node1', 'node3', 'node9']
46000 20 nodes completed rendezvous version 1, 20x1 configuration
46000 starting training with 20 20 nodes
[655.960] simulate training iteration execution finish 78
[663.780] simulate training iteration execution finish 79
[671.600] simulate training iteration execution finish 80
[679.420] simulate training iteration execution finish 81
[687.240] simulate training iteration execution finish 82
[695.060] simulate training iteration execution finish 83
[702.880] simulate training iteration execution finish 84
[710.700] simulate training iteration execution finish 85
[718.520] simulate training iteration execution finish 86
[726.340] simulate training iteration execution finish 87
[734.160] simulate training iteration execution finish 88
[741.980] simulate training iteration execution finish 89
[749.800] simulate training iteration execution finish 90
[757.620] simulate training iteration execution finish 91
[765.440] simulate training iteration execution finish 92
[773.260] simulate training iteration execution finish 93
[781.080] simulate training iteration execution finish 94
[788.900] simulate training iteration execution finish 95
[796.720] simulate training iteration execution finish 96
[804.540] simulate training iteration execution finish 97
[812.360] simulate training iteration execution finish 98
[820.180] simulate training iteration execution finish 99
[828.000] simulate training iteration execution finish 100
[835.820] simulate training iteration execution finish 101
[843.640] simulate training iteration execution finish 102
[851.460] simulate training iteration execution finish 103
[859.280] simulate training iteration execution finish 104
[867.100] simulate training iteration execution finish 105
[874.920] simulate training iteration execution finish 106
[882.740] simulate training iteration execution finish 107
[890.560] simulate training iteration execution finish 108
[898.380] simulate training iteration execution finish 109
[906.200] simulate training iteration execution finish 110
[914.020] simulate training iteration execution finish 111
[921.840] simulate training iteration execution finish 112
[929.660] simulate training iteration execution finish 113
[937.480] simulate training iteration execution finish 114
[945.300] simulate training iteration execution finish 115
[953.120] simulate training iteration execution finish 116
[960.940] simulate training iteration execution finish 117
[968.760] simulate training iteration execution finish 118
[976.580] simulate training iteration execution finish 119
[984.400] simulate training iteration execution finish 120
[992.220] simulate training iteration execution finish 121
[1000.040] simulate training iteration execution finish 122
[1007.860] simulate training iteration execution finish 123
[1015.680] simulate training iteration execution finish 124
[1023.500] simulate training iteration execution finish 125
[1031.320] simulate training iteration execution finish 126
[1039.140] simulate training iteration execution finish 127
[1046.960] simulate training iteration execution finish 128
[1054.780] simulate training iteration execution finish 129
[1062.600] simulate training iteration execution finish 130
[1070.420] simulate training iteration execution finish 131
[1078.240] simulate training iteration execution finish 132
[1086.060] simulate training iteration execution finish 133
[1093.880] simulate training iteration execution finish 134
[1101.700] simulate training iteration execution finish 135
[1109.520] simulate training iteration execution finish 136
[1117.340] simulate training iteration execution finish 137
[1125.160] simulate training iteration execution finish 138
[1132.980] simulate training iteration execution finish 139
[1140.800] simulate training iteration execution finish 140
[1148.620] simulate training iteration execution finish 141
[1156.440] simulate training iteration execution finish 142
[1164.260] simulate training iteration execution finish 143
[1172.080] simulate training iteration execution finish 144
[1179.900] simulate training iteration execution finish 145
[1187.720] simulate training iteration execution finish 146
[1195.540] simulate training iteration execution finish 147
[1203.360] simulate training iteration execution finish 148
[1211.180] simulate training iteration execution finish 149
[1219.000] simulate training iteration execution finish 150
[1226.820] simulate training iteration execution finish 151
[1234.640] simulate training iteration execution finish 152
[1242.460] simulate training iteration execution finish 153
[1250.280] simulate training iteration execution finish 154
[1258.100] simulate training iteration execution finish 155
[1265.920] simulate training iteration execution finish 156
[1273.740] simulate training iteration execution finish 157
[1281.560] simulate training iteration execution finish 158
[1289.380] simulate training iteration execution finish 159
[1297.200] simulate training iteration execution finish 160
[1305.020] simulate training iteration execution finish 161
[1312.840] simulate training iteration execution finish 162
[1320.660] simulate training iteration execution finish 163
[1328.480] simulate training iteration execution finish 164
[1336.300] simulate training iteration execution finish 165
[1344.120] simulate training iteration execution finish 166
[1351.940] simulate training iteration execution finish 167
[1359.760] simulate training iteration execution finish 168
[1367.580] simulate training iteration execution finish 169
[1375.400] simulate training iteration execution finish 170
[1383.220] simulate training iteration execution finish 171
[1391.040] simulate training iteration execution finish 172
[1398.860] simulate training iteration execution finish 173
[1406.680] simulate training iteration execution finish 174
[1414.500] simulate training iteration execution finish 175
[1422.320] simulate training iteration execution finish 176
[1430.140] simulate training iteration execution finish 177
[1437.960] simulate training iteration execution finish 178
[1445.780] simulate training iteration execution finish 179
[1453.600] simulate training iteration execution finish 180
[1461.420] simulate training iteration execution finish 181
[1469.240] simulate training iteration execution finish 182
[1477.060] simulate training iteration execution finish 183
[1484.880] simulate training iteration execution finish 184
[1492.700] simulate training iteration execution finish 185
[1500.520] simulate training iteration execution finish 186
[1508.340] simulate training iteration execution finish 187
[1516.160] simulate training iteration execution finish 188
[1523.980] simulate training iteration execution finish 189
[1531.800] simulate training iteration execution finish 190
[1539.620] simulate training iteration execution finish 191
[1547.440] simulate training iteration execution finish 192
[1555.260] simulate training iteration execution finish 193
[1560.000] node6 simulate_spot_instance_remove: 1560000
[1560.000] simulate_rendezvous_start: 1560000 False
[1560.000] simulate_rendezvous_restart: 1560000
[1560.000] node15 simulate_spot_instance_remove: 1560000
[1560.000] same delta as last reconfigure, skipping
[1560.781] simulate_reconfigure: 1560780.625
[1560.781] simulate_preparation: 1560780.625 ['node1', 'node3', 'node7', 'node15', 'node14', 'node13', 'node12', 'node2', 'node5', 'node11', 'node10', 'node20', 'node4', 'node9', 'node19', 'node18', 'node8', 'node17', 'node16']
[1560.781] node15 terminated during redezvous, restarting
[1560.781] simulate_rendezvous_restart: 1560780.625
[1560.781] simulate_preparation: 1560780.625
[1560.781] simulate_preparation: 1560780.625 ['node1', 'node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node11', 'node10', 'node20', 'node4', 'node9', 'node19', 'node18', 'node8', 'node17', 'node16']
[1560.781] simulate_assign_coordinates ['node1', 'node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node11', 'node10', 'node20', 'node4', 'node9', 'node19', 'node18', 'node8', 'node17', 'node16']
1560780.625 18 nodes completed rendezvous version 2, 18x1 configuration
1560780.625 starting training with 18 18 nodes
[1569.651] simulate training iteration execution finish 194
[1578.521] simulate training iteration execution finish 195
[1587.391] simulate training iteration execution finish 196
[1596.261] simulate training iteration execution finish 197
[1605.131] simulate training iteration execution finish 198
[1614.001] simulate training iteration execution finish 199
[1622.871] simulate training iteration execution finish 200
[1631.741] simulate training iteration execution finish 201
[1640.611] simulate training iteration execution finish 202
[1649.481] simulate training iteration execution finish 203
[1658.351] simulate training iteration execution finish 204
[1667.221] simulate training iteration execution finish 205
[1676.091] simulate training iteration execution finish 206
[1680.000] node1 simulate_spot_instance_remove: 1680000
[1680.000] simulate_rendezvous_start: 1680000 False
[1680.000] simulate_rendezvous_restart: 1680000
[1680.908] simulate_reconfigure: 1680908.125
[1680.908] simulate_preparation: 1680908.125 ['node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node11', 'node10', 'node20', 'node4', 'node9', 'node19', 'node18', 'node8', 'node17', 'node16']
[1680.908] simulate_assign_coordinates ['node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node11', 'node10', 'node20', 'node4', 'node9', 'node19', 'node18', 'node8', 'node17', 'node16']
1680908.125 17 nodes completed rendezvous version 3, 17x1 configuration
1680908.125 starting training with 17 17 nodes
[1691.918] simulate training iteration execution finish 207
[1702.928] simulate training iteration execution finish 208
[1713.938] simulate training iteration execution finish 209
[1724.948] simulate training iteration execution finish 210
[1735.958] simulate training iteration execution finish 211
[1740.000] node21 simulate_spot_instance_add: 1740000
[1746.968] simulate training iteration execution finish 212
[1757.978] simulate training iteration execution finish 213
[1768.988] simulate training iteration execution finish 214
[1779.998] simulate training iteration execution finish 215
[1785.000] node21 simulate_spot_instance_ready: 1785000
[1791.008] simulate training iteration execution finish 216
[1800.000] node23 simulate_spot_instance_add: 1800000
[1800.000] node22 simulate_spot_instance_add: 1800000
[1802.018] simulate training iteration execution finish 217
[1813.028] simulate training iteration execution finish 218
[1824.038] simulate training iteration execution finish 219
[1835.048] simulate training iteration execution finish 220
[1845.000] node23 simulate_spot_instance_ready: 1845000
[1845.000] node22 simulate_spot_instance_ready: 1845000
[1846.058] simulate training iteration execution finish 221
[1857.068] simulate training iteration execution finish 222
[1868.078] simulate training iteration execution finish 223
[1879.088] simulate training iteration execution finish 224
[1890.098] simulate training iteration execution finish 225
[1901.108] simulate training iteration execution finish 226
[1912.118] simulate training iteration execution finish 227
[1923.128] simulate training iteration execution finish 228
[1934.138] simulate training iteration execution finish 229
[1945.148] simulate training iteration execution finish 230
[1956.158] simulate training iteration execution finish 231
[1967.168] simulate training iteration execution finish 232
[1978.178] simulate training iteration execution finish 233
[1989.188] simulate training iteration execution finish 234
[2000.198] simulate training iteration execution finish 235
[2011.208] simulate training iteration execution finish 236
[2022.218] simulate training iteration execution finish 237
[2033.228] simulate training iteration execution finish 238
[2044.238] simulate training iteration execution finish 239
[2055.248] simulate training iteration execution finish 240
[2066.258] simulate training iteration execution finish 241
[2077.268] simulate training iteration execution finish 242
[2088.278] simulate training iteration execution finish 243
[2099.288] simulate training iteration execution finish 244
[2110.298] simulate training iteration execution finish 245
[2121.308] simulate training iteration execution finish 246
[2132.318] simulate training iteration execution finish 247
[2143.328] simulate training iteration execution finish 248
[2154.338] simulate training iteration execution finish 249
[2165.348] simulate training iteration execution finish 250
[2176.358] simulate training iteration execution finish 251
[2187.368] simulate training iteration execution finish 252
[2198.378] simulate training iteration execution finish 253
[2209.388] simulate training iteration execution finish 254
[2220.398] simulate training iteration execution finish 255
[2231.408] simulate training iteration execution finish 256
[2242.418] simulate training iteration execution finish 257
[2253.428] simulate training iteration execution finish 258
[2264.438] simulate training iteration execution finish 259
[2275.448] simulate training iteration execution finish 260
[2286.458] simulate training iteration execution finish 261
[2297.468] simulate training iteration execution finish 262
[2308.478] simulate training iteration execution finish 263
[2319.488] simulate training iteration execution finish 264
[2330.498] simulate training iteration execution finish 265
[2341.508] simulate training iteration execution finish 266
[2352.518] simulate training iteration execution finish 267
[2363.528] simulate training iteration execution finish 268
[2374.538] simulate training iteration execution finish 269
[2385.548] simulate training iteration execution finish 270
[2396.558] simulate training iteration execution finish 271
[2407.568] simulate training iteration execution finish 272
[2418.578] simulate training iteration execution finish 273
[2429.588] simulate training iteration execution finish 274
[2440.598] simulate training iteration execution finish 275
[2451.608] simulate training iteration execution finish 276
[2462.618] simulate training iteration execution finish 277
[2473.628] simulate training iteration execution finish 278
[2484.638] simulate training iteration execution finish 279
[2495.648] simulate training iteration execution finish 280
[2506.658] simulate training iteration execution finish 281
[2517.668] simulate training iteration execution finish 282
[2528.678] simulate training iteration execution finish 283
[2539.688] simulate training iteration execution finish 284
[2550.698] simulate training iteration execution finish 285
[2561.708] simulate training iteration execution finish 286
[2572.718] simulate training iteration execution finish 287
[2583.728] simulate training iteration execution finish 288
[2594.738] simulate training iteration execution finish 289
[2605.748] simulate training iteration execution finish 290
[2616.758] simulate training iteration execution finish 291
[2627.768] simulate training iteration execution finish 292
[2638.778] simulate training iteration execution finish 293
[2640.000] node22 simulate_spot_instance_remove: 2640000
[2640.000] simulate_rendezvous_start: 2640000 False
[2640.000] simulate_rendezvous_restart: 2640000
[2640.898] simulate_reconfigure: 2640898.125
[2640.898] simulate_preparation: 2640898.125 ['node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node11', 'node10', 'node20', 'node4', 'node9', 'node19', 'node18', 'node8', 'node17', 'node16', 'node21', 'node23']
[2640.898] simulate_assign_coordinates ['node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node11', 'node10', 'node20', 'node4', 'node9', 'node19', 'node18', 'node8', 'node17', 'node16', 'node21', 'node23']
2640898.125 19 nodes completed rendezvous version 4, 19x1 configuration
2640898.125 starting training with 19 19 nodes
[2649.708] simulate training iteration execution finish 294
[2658.518] simulate training iteration execution finish 295
[2667.328] simulate training iteration execution finish 296
[2676.138] simulate training iteration execution finish 297
[2684.948] simulate training iteration execution finish 298
[2693.758] simulate training iteration execution finish 299
[2702.568] simulate training iteration execution finish 300
[2711.378] simulate training iteration execution finish 301
[2720.188] simulate training iteration execution finish 302
[2728.998] simulate training iteration execution finish 303
[2737.808] simulate training iteration execution finish 304
[2746.618] simulate training iteration execution finish 305
[2755.428] simulate training iteration execution finish 306
[2764.238] simulate training iteration execution finish 307
[2773.048] simulate training iteration execution finish 308
[2781.858] simulate training iteration execution finish 309
[2790.668] simulate training iteration execution finish 310
[2799.478] simulate training iteration execution finish 311
[2808.288] simulate training iteration execution finish 312
[2817.098] simulate training iteration execution finish 313
[2825.908] simulate training iteration execution finish 314
[2834.718] simulate training iteration execution finish 315
[2843.528] simulate training iteration execution finish 316
[2852.338] simulate training iteration execution finish 317
[2861.148] simulate training iteration execution finish 318
[2869.958] simulate training iteration execution finish 319
[2878.768] simulate training iteration execution finish 320
[2887.578] simulate training iteration execution finish 321
[2896.388] simulate training iteration execution finish 322
[2905.198] simulate training iteration execution finish 323
[2914.008] simulate training iteration execution finish 324
[2922.818] simulate training iteration execution finish 325
[2931.628] simulate training iteration execution finish 326
[2940.438] simulate training iteration execution finish 327
[2949.248] simulate training iteration execution finish 328
[2958.058] simulate training iteration execution finish 329
[2966.868] simulate training iteration execution finish 330
[2975.678] simulate training iteration execution finish 331
[2984.488] simulate training iteration execution finish 332
[2993.298] simulate training iteration execution finish 333
[3000.000] node19 simulate_spot_instance_remove: 3000000
[3000.000] simulate_rendezvous_start: 3000000 False
[3000.000] simulate_rendezvous_restart: 3000000
[3000.000] node11 simulate_spot_instance_remove: 3000000
[3000.000] same delta as last reconfigure, skipping
[3000.000] node8 simulate_spot_instance_remove: 3000000
[3000.000] same delta as last reconfigure, skipping
[3000.734] simulate_reconfigure: 3000734.375
[3000.734] simulate_preparation: 3000734.375 ['node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node11', 'node10', 'node20', 'node4', 'node9', 'node18', 'node8', 'node17', 'node16', 'node21', 'node23']
[3000.734] node11 terminated during redezvous, restarting
[3000.734] simulate_rendezvous_restart: 3000734.375
[3000.734] simulate_preparation: 3000734.375
[3000.734] simulate_preparation: 3000734.375 ['node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node10', 'node20', 'node4', 'node9', 'node18', 'node17', 'node16', 'node21', 'node23']
[3000.734] simulate_assign_coordinates ['node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node10', 'node20', 'node4', 'node9', 'node18', 'node17', 'node16', 'node21', 'node23']
3000734.375 16 nodes completed rendezvous version 5, 16x1 configuration
3000734.375 starting training with 16 16 nodes
[3010.974] simulate training iteration execution finish 334
[3021.214] simulate training iteration execution finish 335
[3031.454] simulate training iteration execution finish 336
[3041.694] simulate training iteration execution finish 337
[3051.934] simulate training iteration execution finish 338
[3062.174] simulate training iteration execution finish 339
[3072.414] simulate training iteration execution finish 340
[3082.654] simulate training iteration execution finish 341
[3092.894] simulate training iteration execution finish 342
[3103.134] simulate training iteration execution finish 343
[3113.374] simulate training iteration execution finish 344
[3123.614] simulate training iteration execution finish 345
[3133.854] simulate training iteration execution finish 346
[3144.094] simulate training iteration execution finish 347
[3154.334] simulate training iteration execution finish 348
[3164.574] simulate training iteration execution finish 349
[3174.814] simulate training iteration execution finish 350
[3185.054] simulate training iteration execution finish 351
[3195.294] simulate training iteration execution finish 352
[3205.534] simulate training iteration execution finish 353
[3215.774] simulate training iteration execution finish 354
[3226.014] simulate training iteration execution finish 355
[3236.254] simulate training iteration execution finish 356
[3246.494] simulate training iteration execution finish 357
[3256.734] simulate training iteration execution finish 358
[3266.974] simulate training iteration execution finish 359
[3277.214] simulate training iteration execution finish 360
[3287.454] simulate training iteration execution finish 361
[3297.694] simulate training iteration execution finish 362
[3307.934] simulate training iteration execution finish 363
[3318.174] simulate training iteration execution finish 364
[3328.414] simulate training iteration execution finish 365
[3338.654] simulate training iteration execution finish 366
[3348.894] simulate training iteration execution finish 367
[3359.134] simulate training iteration execution finish 368
[3369.374] simulate training iteration execution finish 369
[3379.614] simulate training iteration execution finish 370
[3389.854] simulate training iteration execution finish 371
[3400.094] simulate training iteration execution finish 372
[3410.334] simulate training iteration execution finish 373
[3420.574] simulate training iteration execution finish 374
[3430.814] simulate training iteration execution finish 375
[3441.054] simulate training iteration execution finish 376
[3451.294] simulate training iteration execution finish 377
[3461.534] simulate training iteration execution finish 378
[3471.774] simulate training iteration execution finish 379
[3482.014] simulate training iteration execution finish 380
[3492.254] simulate training iteration execution finish 381
[3502.494] simulate training iteration execution finish 382
[3512.734] simulate training iteration execution finish 383
[3522.974] simulate training iteration execution finish 384
[3533.214] simulate training iteration execution finish 385
[3543.454] simulate training iteration execution finish 386
[3553.694] simulate training iteration execution finish 387
[3563.934] simulate training iteration execution finish 388
[3574.174] simulate training iteration execution finish 389
[3584.414] simulate training iteration execution finish 390
[3594.654] simulate training iteration execution finish 391
[3604.894] simulate training iteration execution finish 392
[3615.134] simulate training iteration execution finish 393
[3625.374] simulate training iteration execution finish 394
[3635.614] simulate training iteration execution finish 395
[3645.854] simulate training iteration execution finish 396
[3656.094] simulate training iteration execution finish 397
[3666.334] simulate training iteration execution finish 398
[3676.574] simulate training iteration execution finish 399
[3686.814] simulate training iteration execution finish 400
[3697.054] simulate training iteration execution finish 401
[3707.294] simulate training iteration execution finish 402
[3717.534] simulate training iteration execution finish 403
[3727.774] simulate training iteration execution finish 404
[3738.014] simulate training iteration execution finish 405
[3748.254] simulate training iteration execution finish 406
[3758.494] simulate training iteration execution finish 407
[3768.734] simulate training iteration execution finish 408
[3778.974] simulate training iteration execution finish 409
[3789.214] simulate training iteration execution finish 410
[3799.454] simulate training iteration execution finish 411
[3809.694] simulate training iteration execution finish 412
[3819.934] simulate training iteration execution finish 413
[3830.174] simulate training iteration execution finish 414
[3840.414] simulate training iteration execution finish 415
[3850.654] simulate training iteration execution finish 416
[3860.894] simulate training iteration execution finish 417
[3871.134] simulate training iteration execution finish 418
[3881.374] simulate training iteration execution finish 419
[3891.614] simulate training iteration execution finish 420
[3901.854] simulate training iteration execution finish 421
[3912.094] simulate training iteration execution finish 422
[3922.334] simulate training iteration execution finish 423
[3932.574] simulate training iteration execution finish 424
[3942.814] simulate training iteration execution finish 425
[3953.054] simulate training iteration execution finish 426
[3960.000] node4 simulate_spot_instance_remove: 3960000
[3960.000] simulate_rendezvous_start: 3960000 False
[3960.000] simulate_rendezvous_restart: 3960000
[3960.965] simulate_reconfigure: 3960965.0
[3960.965] simulate_preparation: 3960965.0 ['node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node10', 'node20', 'node9', 'node18', 'node17', 'node16', 'node21', 'node23']
[3960.965] simulate_assign_coordinates ['node3', 'node7', 'node14', 'node13', 'node12', 'node2', 'node5', 'node10', 'node20', 'node9', 'node18', 'node17', 'node16', 'node21', 'node23']
3960965.0 15 nodes completed rendezvous version 6, 15x1 configuration
3960965.0 starting training with 15 15 nodes
[3972.565] simulate training iteration execution finish 427
[3984.165] simulate training iteration execution finish 428
[3995.765] simulate training iteration execution finish 429
[4007.365] simulate training iteration execution finish 430
[4018.965] simulate training iteration execution finish 431
[4030.565] simulate training iteration execution finish 432
[4042.165] simulate training iteration execution finish 433
[4053.765] simulate training iteration execution finish 434
